,id,name
136,3515de8a-ad54-4963-8887-13f2be618b7a,Brennerei / Destillerie
137,d9cb38c0-7249-4633-a1fc-6aa25d4d65b1,Eventveranstalter
138,03fb3d86-dac9-46b8-ab87-284da976e350,Busbahnhof
139,e1744565-bd66-4c90-a20f-0edb0b8e9c9d,Eventlocation
140,c4b98b55-aadb-44db-946a-daf2cc4eba6c,Indoor Spielplatz
141,df534bdd-aa14-4ace-bbc0-68f71c412478,Lehrgarten
142,57449486-8f5a-44bd-b542-9f0f17d54ee1,Drogerie
143,18907b55-09f5-44f3-b009-e31b4bec147a,Badesee
144,c6e94e14-455c-4ed9-b93a-addb3bddb790,Gedenkstätte
145,71b47547-2490-4128-924e-9eb5a39c0233,Tennisplatz
146,587ef021-9f09-4c85-8155-146e5b324ea9,Geldautomat
147,6ee17bc4-7c07-45a7-80d1-3416d7b49c5b,Fahrradwerkstatt
148,bb429075-d228-4d4c-b290-ef1295babe35,Schutzhütte
149,4b1b0d06-a0b7-4f38-879f-9659551d1699,Kneippanlage
150,b73907b7-5da2-4594-b302-af0d14958dd7,Winzergenossenschaft
151,c5a5b82b-eac1-4e7d-ad4b-a6631e4f0d31,Polizeidienstelle
152,83a84420-60c3-4cd3-b40f-6393f727ac1a,Krankenhaus
153,bd4bc8bb-88b0-436d-ac09-a109ffb4df2d,Eislaufbahn
154,523c47a3-baba-4245-8629-ca676e6afc0a,Wanderführer
155,63a3a26c-4eee-4daf-adb1-1e7405bc930c,Fußgängerzone
156,a19b37a4-e80d-4e2d-b130-762619eaf554,Sushi-Restaurant
157,eb50dd5f-e335-4b27-9589-b9a4b5e99b58,Altstadt
158,fd305f08-ad80-4e51-b35e-36a9a13f51dc,Verwaltungsamt
159,fa5565b6-5a39-478c-a9ee-4fa7822511ca,Spezialgeschäft
160,7f0fc733-a0a3-4939-bb08-9addfad4446c,Hotel Garni
161,4b40d09e-99d3-4e5f-b498-07c633d04a0d,Picknickplatz
162,eb7795f4-1877-4a4c-b015-8f949d077591,Freizeitbad
163,4e835a19-1cfd-464d-9662-d68bc21918c5,Reisebüro
164,ed78e7bf-8ad3-3575-a756-3176141a6f08,Radtour
165,35f936fc-16e6-45b0-970f-6a10f4ab3e22,Manufaktur
166,09d708de-1198-4f71-b90e-eab6ffe0d7ef,Testzentrum
167,e28298c6-fae3-464e-b9f6-e9196201073c,Jazzclub
